frame,shoulder_tilt,forward_lean,neck_angle
0,168.744,123.679,54.931
1,169.037,130.683,54.762
2,169.011,130.138,54.418
3,167.724,128.809,54.736
4,167.427,129.504,54.688
5,167.129,128.895,54.64
6,167.098,130.148,54.631
7,167.098,131.335,54.493
8,166.995,132.604,54.558
9,166.83,132.009,54.518
10,166.862,131.814,54.614
11,166.893,131.622,54.71
12,167.057,131.213,54.724
13,167.057,131.056,54.698
14,167.19,131.217,54.617
15,167.22,131.217,54.685
16,167.22,130.627,54.685
17,167.22,130.14,54.685
18,167.353,129.729,54.604
19,167.486,129.705,54.523
20,167.619,130.067,54.415
21,167.782,130.283,54.429
22,167.782,130.586,54.429
23,167.782,130.617,54.429
24,167.724,130.77,54.185
25,167.501,130.95,53.926
26,167.501,131.199,53.926
27,167.367,131.638,54.006
28,167.367,131.534,54.117
29,167.397,131.249,54.239
30,167.397,130.781,54.268
31,167.263,131.128,54.238
32,167.263,130.807,54.349
33,167.129,130.514,54.569
34,167.263,130.203,54.6
35,167.427,130.046,54.725
36,167.56,129.65,54.784
37,167.59,129.638,54.992
38,167.59,130.508,55.134
39,167.59,130.343,55.248
40,167.619,130.343,55.343
41,167.915,130.695,55.273
42,168.048,130.762,55.192
43,168.104,130.648,55.296
44,168.104,128.738,55.267
45,167.943,130.176,54.693
46,168.076,132.772,54.062
47,168.048,133.446,53.751
48,168.154,133.049,53.552
49,168.154,133.314,53.579
50,168.154,133.348,53.579
51,168.154,133.448,53.552
52,168.154,133.385,53.445
53,168.288,133.046,53.555
54,168.315,132.647,53.784
55,168.154,132.507,53.877
56,167.694,131.901,54.146
57,167.694,130.986,54.173
58,167.694,130.198,54.731
59,167.724,130.195,55.194
60,167.857,130.321,55.456
61,167.963,130.366,55.537
62,168.851,129.934,55.765
63,169.145,129.854,55.756
64,170.024,130.492,55.732
65,170.047,129.577,55.857
66,170.047,129.286,56.293
67,170.094,129.453,56.662
68,169.961,131.232,56.744
69,170.07,130.703,57.162
70,170.047,132.498,57.124
71,170.314,131.596,57.253
72,170.448,131.464,57.619
73,171.409,130.463,58.313
74,171.409,130.001,58.648
75,171.182,129.799,58.514
76,171.489,130.127,58.282
77,171.356,130.7,58.123
78,171.244,131.138,58.138
79,170.979,130.269,58.308
80,170.979,129.533,58.308
81,170.846,127.85,58.639
82,170.692,128.002,58.715
83,170.427,128.393,58.765
84,170.25,128.614,58.667
