frame,shoulder_tilt,forward_lean,neck_angle
0,159.193,120.116,60.712
1,159.408,121.7,60.28
2,159.515,122.471,60.047
3,159.62,124.306,60.103
4,159.392,129.149,59.579
5,159.584,129.938,59.469
6,159.827,129.159,59.137
7,159.827,128.651,58.767
8,159.966,128.054,58.385
9,159.966,127.955,58.385
10,160.156,127.931,58.375
11,160.436,130.013,58.159
12,160.576,131.009,58.052
13,160.766,131.315,58.044
14,160.815,130.889,57.917
15,160.307,133.378,57.988
16,160.08,133.034,57.806
17,159.717,132.51,57.634
18,160.042,130.214,57.525
19,160.092,126.72,57.66
20,160.278,126.082,57.69
21,160.689,127.445,57.286
22,160.827,128.603,57.088
23,160.827,127.039,56.959
24,160.965,127.55,56.763
25,161.103,127.743,56.695
26,161.103,129.414,56.567
27,161.147,131.15,56.392
28,161.099,133.14,56.29
29,161.099,132.578,56.163
30,161.286,133.229,56.039
31,161.425,133.808,55.94
32,161.565,133.2,55.716
33,161.425,133.165,55.719
34,161.286,132.437,55.47
35,161.239,132.627,55.271
36,161.425,132.441,55.401
37,161.472,130.579,55.132
38,161.751,134.342,54.481
39,161.985,134.008,54.027
40,162.93,132.291,53.856
41,163.315,132.323,53.793
42,163.416,127.821,53.335
43,163.272,127.198,53.306
44,163.416,127.618,53.382
45,162.985,131.728,53.841
46,163.029,128.873,53.848
47,162.93,128.895,53.845
48,163.258,133.059,53.812
49,163.301,130.099,53.978
50,163.301,130.948,54.015
51,163.527,130.722,54.141
52,163.527,132.668,54.141
53,163.811,132.436,54.431
54,163.994,131.976,54.592
55,164.278,130.842,55.052
56,164.602,130.318,55.354
57,164.46,129.208,55.467
58,164.5,130.134,55.745
59,164.5,129.871,55.745
60,164.642,129.623,55.93
61,164.642,129.21,56.447
62,164.784,130.059,56.484
63,164.563,126.919,56.338
64,164.563,126.899,56.447
65,164.563,129.084,56.447
66,164.381,129.206,56.409
67,164.157,129.297,56.263
68,164.26,129.275,56.321
69,164.178,129.209,56.078
70,164.241,129.645,55.74
71,164.055,129.591,55.833
72,164.117,130.561,55.733
73,163.929,130.765,55.647
74,163.887,132.356,55.539
75,163.844,131.725,55.347
76,163.801,131.716,55.312
77,163.949,130.856,55.573
78,163.949,128.21,56.066
79,163.949,127.948,56.332
80,163.949,127.783,56.599
81,163.801,127.76,56.566
82,163.844,129.236,56.841
83,163.697,129.77,57.078
84,163.447,129.63,57.254
85,163.301,129.587,57.357
86,163.155,128.906,57.597
87,163.009,127.861,57.701
88,162.864,128.012,58.048
89,162.864,128.112,58.048
90,162.719,129.856,58.293
91,162.719,129.914,58.433
92,162.764,129.864,58.68
93,162.764,130.304,58.68
94,162.908,130.297,58.714
95,163.054,130.576,58.467
96,163.054,129.59,58.467
97,162.908,129.388,58.714
98,162.953,129.388,58.857
99,162.953,130.039,58.857
100,162.953,130.186,58.857
101,163.098,129.791,58.751
102,163.098,130.096,58.61
103,163.098,130.576,58.61
104,163.098,130.133,58.646
105,163.243,130.067,58.54
106,163.098,131.115,58.505
107,162.953,131.083,58.471
108,162.953,130.226,58.471
109,162.808,130.197,58.436
110,162.997,132.301,58.298
111,162.853,132.99,58.125
112,162.853,133.371,57.712
113,162.853,134.157,57.472
114,162.853,134.413,57.067
115,162.754,134.748,57.037
116,162.754,134.005,57.037
117,163.041,134.168,56.969
118,163.041,133.924,56.969
119,163.041,134.624,56.836
120,163.33,136.37,56.504
121,163.33,136.279,56.372
122,163.619,135.887,56.175
123,163.619,135.669,55.915
124,163.806,135.626,55.924
125,163.951,135.165,55.698
126,163.951,135.665,55.698
127,163.951,135.414,55.727
128,163.951,135.331,55.727
129,163.951,135.041,55.727
130,163.848,135.248,55.959
131,163.848,135.165,55.959
132,163.89,135.041,56.094
133,163.746,134.227,56.191
134,163.704,134.304,56.345
135,163.704,131.666,56.609
136,163.704,130.917,56.874
137,163.517,131.596,56.939
138,163.517,132.22,57.143
139,163.517,132.412,57.11
140,163.33,134.372,56.939
141,163.344,134.371,56.622
142,163.344,135.858,56.489
143,163.344,138.069,56.489
144,163.49,137.739,56.389
145,163.636,137.856,56.027
146,163.636,138.216,55.896
147,163.636,137.884,55.767
148,163.49,137.971,55.735
149,163.533,136.449,55.809
150,163.533,134.302,55.809
151,163.576,134.221,55.914
152,163.517,133.741,56.124
153,163.517,134.426,55.963
154,163.517,134.426,55.963
155,163.373,135.627,55.932
156,163.085,136.484,56.0
157,163.085,136.528,56.0
158,162.798,135.0,56.068
159,162.699,134.224,56.302
160,162.415,136.14,56.371
161,161.989,135.929,56.671
162,161.377,137.577,56.971
163,161.284,138.309,57.014
164,161.284,139.399,57.014
165,161.424,138.82,56.913
166,161.284,139.051,56.883
167,161.284,137.384,56.883
168,161.424,137.067,56.781
169,161.565,137.52,56.811
170,161.565,137.339,56.811
171,161.565,137.573,56.943
172,161.565,137.256,56.943
173,161.706,137.668,56.973
174,161.659,137.585,57.001
175,161.518,136.376,57.134
176,161.612,134.046,57.194
177,161.612,134.166,57.328
178,161.612,133.718,57.328
179,161.612,133.718,57.328
180,161.565,133.237,57.223
181,161.707,134.162,57.388
182,161.896,134.495,57.422
183,161.896,135.127,57.256
184,161.707,134.873,57.388
185,161.707,135.085,57.388
186,161.518,135.517,57.522
187,161.47,136.355,57.385
188,161.47,136.624,57.385
189,161.613,136.662,57.146
190,161.613,137.075,57.281
191,161.47,136.85,57.385
192,161.47,137.039,57.488
193,161.47,137.501,57.488
194,161.279,137.412,57.454
195,161.279,138.127,57.59
196,161.279,138.127,57.59
197,161.279,138.415,57.59
198,161.279,138.656,57.59
199,161.327,138.753,57.729
200,161.327,139.243,57.696
201,161.327,138.948,57.696
202,161.279,138.079,57.59
203,161.279,137.654,57.59
204,161.327,136.957,57.729
205,161.327,136.637,57.729
206,161.327,136.596,57.866
207,161.327,136.687,57.866
208,161.327,136.871,57.866
209,161.375,137.101,57.937
210,161.375,137.055,57.937
211,161.375,137.662,57.937
212,161.518,137.752,57.831
213,161.47,137.799,57.727
214,161.47,137.696,57.59
215,161.327,138.356,57.56
216,161.327,138.26,57.56
217,161.327,138.022,57.56
218,161.279,137.692,57.421
219,161.279,136.271,57.388
220,161.327,136.226,57.492
221,161.327,136.95,57.492
222,161.279,137.607,57.488
223,161.279,137.42,57.488
224,161.182,137.466,57.245
225,160.896,137.474,57.422
226,160.703,137.298,57.56
227,160.703,133.93,57.797
228,160.703,131.181,57.797
229,160.753,130.843,57.938
230,160.753,129.985,58.075
231,160.753,129.734,58.075
232,160.417,130.24,58.049
233,160.417,130.843,57.912
234,160.417,131.561,57.912
235,160.275,133.678,57.984
236,160.326,133.841,58.262
237,160.184,134.608,58.335
238,160.184,134.651,58.335
239,160.184,134.651,58.335
240,160.043,135.622,58.444
241,160.043,135.532,58.444
242,160.043,135.577,58.407
243,159.901,135.758,58.517
