frame,shoulder_tilt,forward_lean,neck_angle
0,175.976,153.305,46.883
1,175.956,153.694,46.733
2,176.026,153.243,47.175
3,176.026,152.858,47.056
4,176.045,152.855,47.544
5,176.055,152.916,47.867
6,176.345,152.788,48.114
7,176.658,152.918,48.59
8,176.682,152.798,48.598
9,176.059,145.78,49.743
10,175.818,139.756,53.642
11,175.818,135.849,56.761
12,175.972,131.866,59.163
13,176.382,130.348,60.886
14,176.532,127.562,62.668
15,176.649,128.717,62.392
16,176.783,129.237,62.89
17,177.592,129.724,63.34
18,177.736,129.12,64.715
19,177.446,128.585,64.609
20,177.422,127.889,65.882
21,177.416,127.751,66.167
22,177.546,127.602,66.549
23,177.416,126.462,68.597
24,177.839,126.323,69.785
25,177.969,125.584,71.191
26,178.51,125.248,71.923
27,178.367,126.149,72.694
28,178.496,125.763,72.719
29,178.778,125.702,73.297
30,178.909,124.485,73.132
31,179.183,124.625,73.866
32,179.592,125.175,73.774
33,179.593,126.164,73.51
34,179.864,126.119,73.308
35,-179.864,126.145,73.103
36,-179.864,125.936,73.096
37,-179.864,123.308,72.904
38,180.0,123.629,72.942
39,179.596,124.331,73.115
40,179.462,124.76,72.962
41,179.197,125.278,73.036
42,178.929,125.344,73.04
43,178.929,125.438,72.851
44,179.329,125.22,72.526
45,179.866,124.459,72.767
46,-178.784,126.809,71.91
47,-178.51,127.527,71.299
48,-177.969,128.67,70.094
49,-177.563,129.072,69.251
50,-176.585,131.672,67.905
51,-176.313,133.267,65.98
52,-175.168,134.523,64.196
53,-174.982,133.681,63.71
54,-175.133,134.026,63.103
55,-175.548,135.227,61.261
56,-176.658,134.434,60.283
57,-176.805,135.716,58.013
58,-177.498,135.247,57.776
59,-178.471,135.081,57.487
60,-178.749,135.121,57.663
61,-179.16,134.761,57.404
62,-179.436,134.8,57.404
63,-179.007,136.022,57.275
64,-179.286,134.718,57.603
65,-179.286,131.712,59.094
66,-179.711,128.51,60.337
67,-179.855,126.441,63.015
68,-179.855,125.424,65.143
69,-179.854,124.52,66.482
70,-179.853,124.163,67.366
71,180.0,123.538,68.116
72,179.114,122.194,68.823
73,178.822,122.748,68.979
74,178.524,122.53,69.416
75,178.355,121.898,70.744
76,178.186,118.85,74.513
77,177.722,118.714,75.506
78,177.259,117.57,77.135
79,178.172,115.549,80.287
80,178.167,115.769,79.883
81,178.009,115.38,80.117
82,177.55,114.714,80.773
83,177.397,113.957,81.425
