frame,shoulder_tilt,forward_lean,neck_angle
0,159.262,127.288,70.197
1,159.5,127.134,70.925
2,159.209,126.561,72.244
3,159.14,126.601,72.732
4,159.047,127.162,72.703
5,158.937,127.669,72.619
6,159.239,127.923,72.471
7,159.239,127.755,72.471
8,159.239,127.655,72.513
9,159.13,127.684,72.313
10,159.063,127.961,72.438
11,158.912,128.004,72.311
12,158.912,128.004,72.351
13,158.804,128.182,72.309
14,158.846,128.591,72.394
15,159.321,128.814,71.9
16,159.254,129.011,71.787
17,159.417,121.142,72.36
18,162.474,117.087,75.052
19,162.55,117.752,76.022
20,162.653,118.045,77.614
21,162.779,115.921,77.43
22,163.374,111.825,79.237
23,163.002,113.851,79.294
24,162.105,115.325,78.595
25,161.977,111.969,80.539
26,161.853,112.31,82.609
27,161.565,108.962,87.278
28,160.12,108.053,90.631
29,158.743,107.625,95.613
30,156.226,109.473,92.629
31,155.633,109.068,92.82
32,155.633,106.683,94.655
33,155.754,106.223,95.419
34,155.622,103.769,94.477
35,156.333,104.024,95.478
36,155.984,102.539,95.977
37,155.512,100.884,98.331
38,155.281,101.715,97.888
39,154.952,105.141,99.649
40,154.889,105.329,99.869
41,154.604,104.394,99.089
42,154.44,104.629,97.89
43,154.61,100.202,98.344
44,154.855,101.232,97.886
45,155.087,101.072,99.54
46,154.927,101.587,98.556
47,155.402,101.38,99.242
48,157.068,101.151,101.478
49,156.496,102.364,100.227
50,155.911,104.462,97.483
51,155.334,106.313,94.18
52,155.966,103.933,92.656
53,155.94,103.841,92.175
54,156.333,105.164,89.187
55,156.785,106.932,86.568
56,156.621,107.614,86.77
57,156.963,108.195,86.553
58,156.675,108.029,85.642
59,157.866,109.751,82.359
60,159.569,113.519,79.938
61,161.044,122.108,74.946
62,161.825,126.283,72.879
63,162.193,125.704,71.084
64,161.968,126.86,69.594
65,162.004,128.004,68.893
66,162.556,127.377,69.646
67,162.632,125.641,70.009
68,162.966,125.764,70.439
69,163.077,122.954,70.634
70,163.077,121.523,70.483
71,163.077,120.167,70.634
72,163.189,123.664,70.527
73,163.656,124.616,70.553
74,163.735,126.496,70.322
75,164.166,125.016,70.01
76,164.795,125.895,69.731
77,164.543,125.838,69.706
78,164.795,127.516,69.545
79,164.936,127.434,69.528
80,165.046,127.139,69.428
81,165.046,126.175,69.613
82,165.157,124.767,69.656
83,165.321,124.028,69.824
84,165.515,122.172,70.018
85,165.515,120.964,70.164
86,165.403,121.295,70.163
87,165.292,122.878,70.118
88,165.292,124.538,70.118
89,165.292,124.538,70.118
90,165.403,124.044,70.163
91,165.515,126.35,70.061
92,165.627,126.31,70.063
93,165.739,126.086,69.962
94,165.851,126.206,69.673
95,165.851,126.521,69.484
96,165.656,126.78,69.345
97,165.684,127.714,69.193
98,165.684,127.59,69.147
99,165.769,127.241,69.294
100,165.769,125.825,69.153
101,165.908,125.779,69.181
102,165.908,125.605,69.041
103,165.936,124.415,69.308
104,165.936,124.441,69.261
105,165.908,127.029,69.181
106,166.047,127.039,69.255
107,166.047,126.102,69.39
108,165.797,124.9,69.29
109,165.658,123.995,69.32
110,165.687,124.278,69.48
111,165.466,124.252,69.608
112,165.355,125.089,69.743
113,165.303,124.123,70.077
114,165.17,124.328,70.342
115,165.337,124.973,70.513
116,165.148,125.423,70.42
117,165.069,125.791,70.49
118,164.932,125.697,70.411
119,164.932,125.023,70.526
120,164.902,125.319,70.31
121,165.011,125.2,70.288
122,164.902,124.977,70.462
123,164.932,124.707,70.401
124,164.686,124.678,70.191
125,164.41,123.085,70.186
126,164.193,123.627,70.386
127,164.193,123.427,70.567
128,164.302,124.254,70.612
129,164.332,124.334,70.843
130,164.332,124.282,70.879
131,164.626,124.695,70.895
132,164.626,124.698,71.079
133,164.735,124.182,71.125
134,164.735,123.664,71.459
135,164.735,122.885,71.495
136,164.735,122.907,71.645
137,164.626,122.822,71.634
138,164.597,123.095,71.548
139,164.705,123.613,71.446
140,164.626,126.067,71.299
141,164.735,125.927,71.049
142,164.873,125.74,71.033
143,164.932,125.404,71.239
144,164.823,125.465,71.045
145,164.932,126.498,70.944
146,164.961,128.146,70.918
147,165.177,128.066,71.011
148,165.177,128.004,71.011
149,165.04,126.663,71.128
150,164.794,125.801,71.16
151,164.873,126.557,71.004
152,164.765,126.596,70.956
153,165.011,127.206,70.873
154,165.199,128.692,70.703
155,165.199,128.217,70.703
156,164.982,127.417,70.755
157,164.982,125.704,70.786
158,164.982,124.175,70.786
159,164.952,123.365,70.698
160,164.923,123.741,70.609
161,164.814,123.428,70.561
162,164.676,123.242,70.573
163,164.705,123.44,70.719
164,164.597,125.107,70.523
165,164.488,126.056,70.475
166,164.379,126.637,70.455
167,164.271,128.174,70.408
168,164.349,129.131,70.218
169,164.132,129.131,70.27
170,164.132,128.652,70.27
171,164.271,128.006,70.26
172,164.379,127.788,70.014
173,164.379,126.129,70.014
174,164.349,123.953,70.044
175,164.24,124.144,70.144
176,164.24,123.74,70.17
177,164.24,123.765,70.144
178,164.24,123.467,70.144
179,164.24,124.093,70.117
180,164.101,124.283,69.98
181,164.101,125.94,69.98
182,163.993,125.702,69.934
183,163.993,125.62,69.934
184,163.884,125.445,70.034
185,163.853,125.445,69.944
