frame,shoulder_tilt,forward_lean,neck_angle
1,-176.999,116.374,80.824
2,-177.66,108.754,81.541
3,-177.887,108.898,81.848
4,-178.665,107.719,82.283
5,-179.33,107.94,83.346
6,-179.44,108.59,83.701
7,-179.776,108.192,83.791
8,-179.888,107.994,83.689
9,180.0,108.726,83.587
10,179.776,108.695,83.826
11,179.552,108.221,84.023
12,179.442,107.698,84.459
13,178.991,107.661,84.837
14,179.103,108.147,84.781
15,178.989,108.166,84.835
16,179.326,107.896,84.819
17,179.663,107.505,84.597
18,179.776,107.992,84.187
19,179.888,108.579,83.594
20,-179.888,109.992,82.454
21,-179.664,110.765,80.681
22,-179.33,111.11,79.445
23,-179.33,110.772,78.933
24,-179.33,110.767,78.604
25,-179.443,110.045,78.252
26,-179.666,110.147,78.068
27,179.777,109.783,78.059
28,179.331,109.369,78.246
29,179.108,109.671,78.451
30,178.44,108.813,78.803
31,178.44,109.409,78.864
32,178.446,109.396,78.906
33,178.668,109.004,78.728
34,178.892,108.761,78.439
35,178.894,108.872,78.18
36,179.115,108.389,78.653
37,179.007,108.49,78.481
38,178.783,108.119,78.71
39,178.783,107.217,79.038
40,178.781,107.133,79.093
41,178.668,107.051,79.087
42,178.668,107.367,79.116
43,178.668,107.163,79.145
44,178.668,106.792,79.145
45,178.779,107.491,79.265
46,179.003,107.535,79.21
47,179.224,107.656,79.085
48,179.335,107.407,78.996
49,179.224,106.796,78.905
50,179.226,106.745,79.232
51,179.117,107.227,79.238
52,179.005,105.147,79.179
53,179.003,105.907,79.03
54,178.888,106.395,78.663
55,178.774,108.073,78.597
56,178.437,107.695,78.707
57,178.325,107.737,78.797
58,177.987,107.486,78.908
59,177.979,107.253,78.684
60,177.866,107.653,78.957
61,177.866,107.653,78.957
62,177.871,107.844,79.086
63,177.871,107.792,79.086
64,177.866,108.342,78.99
65,177.754,108.314,79.082
66,177.862,108.73,78.861
67,177.979,108.984,78.899
68,177.979,108.856,78.899
69,177.979,108.825,78.684
70,177.983,108.519,78.78
71,178.319,108.426,78.51
72,178.434,107.849,78.695
73,178.546,107.929,78.606
74,178.883,107.562,78.436
75,178.997,107.572,78.508
76,179.446,107.9,78.536
77,179.558,107.643,78.752
78,179.669,107.806,78.789
79,179.78,107.851,78.65
80,179.89,107.955,78.564
81,179.89,108.637,78.511
82,179.89,108.273,78.538
83,180.0,108.193,78.358
84,180.0,108.087,78.438
85,180.0,107.465,78.492
86,-179.889,107.065,78.638
87,-179.889,106.656,78.638
88,180.0,107.008,78.6
89,179.889,107.017,78.836
90,179.777,106.784,78.882
91,179.551,106.971,78.492
92,179.326,106.84,79.059
93,179.214,106.338,79.884
94,178.76,107.117,79.656
95,178.647,107.825,79.934
96,178.534,107.813,80.244
97,178.534,108.236,80.272
98,178.531,109.204,80.201
99,178.531,108.767,80.201
100,178.531,108.32,80.416
101,178.644,108.168,80.7
102,178.644,108.67,80.751
103,178.872,108.214,81.066
104,178.872,107.599,81.066
105,178.872,107.682,80.9
106,178.76,107.755,80.781
107,178.652,107.904,80.533
108,178.652,107.922,80.533
109,178.54,108.425,80.439
110,178.091,107.929,80.769
111,177.979,107.801,80.865
112,177.979,107.891,80.865
113,177.979,108.102,81.055
114,177.75,107.653,81.123
115,177.75,108.0,80.932
116,177.75,108.532,80.932
117,177.515,108.552,80.71
118,177.29,108.253,80.715
119,177.52,108.503,80.863
120,177.633,109.564,80.956
121,177.515,109.161,80.928
122,177.515,109.15,80.928
123,177.403,109.907,80.835
124,177.52,109.972,80.863
125,177.52,110.445,80.863
126,177.628,109.707,80.882
127,177.741,110.194,80.569
128,177.854,108.62,80.663
129,177.628,108.504,81.239
130,177.628,108.613,81.432
131,177.628,108.513,81.265
132,177.628,109.94,81.265
133,177.633,110.31,81.39
134,177.177,111.957,81.275
135,177.183,110.943,81.232
136,177.07,110.394,81.14
137,177.07,110.41,80.948
138,177.076,111.99,81.049
139,177.076,111.168,80.858
140,176.964,109.941,80.766
141,176.958,111.2,80.642
142,176.952,112.118,80.516
143,177.064,111.788,80.583
144,177.07,112.657,80.656
145,177.07,112.247,80.467
146,177.183,113.294,80.559
147,177.177,111.065,80.244
148,177.29,110.489,80.336
149,177.52,112.014,80.081
150,177.52,111.815,80.081
151,177.408,109.678,80.15
152,177.408,110.031,80.15
153,177.403,111.483,80.024
154,177.29,110.407,80.28
155,177.29,110.703,80.28
156,177.177,111.263,80.377
157,177.064,111.231,80.474
158,177.171,111.441,80.439
159,177.059,109.316,80.536
160,177.171,108.802,80.819
161,177.52,108.396,81.105
162,177.637,108.754,81.489
163,177.745,110.208,81.323
164,177.633,110.28,81.037
165,177.633,109.099,81.037
166,177.745,109.892,81.131
167,177.637,109.694,81.327
168,177.637,109.8,81.193
169,177.188,109.151,82.002
170,176.851,109.091,82.333
171,176.851,109.321,81.995
172,176.858,111.02,81.78
173,176.758,109.89,81.741
174,176.87,111.351,80.584
175,176.876,111.472,79.658
176,176.999,112.225,79.679
177,176.999,112.196,79.345
178,176.999,112.53,79.361
179,177.11,112.319,79.093
180,177.11,111.165,78.74
181,177.11,111.141,78.74
182,177.221,111.256,78.652
183,177.221,112.932,78.836
184,177.11,111.714,78.751
185,177.11,111.082,78.751
186,177.115,111.0,78.846
187,176.882,110.365,78.953
188,176.758,110.203,78.806
189,176.758,110.436,78.768
190,176.758,110.138,79.086
191,176.647,110.579,79.111
192,176.535,109.559,79.307
193,176.765,109.507,79.355
194,176.653,109.961,79.243
195,176.653,109.805,79.426
196,176.87,110.568,79.48
197,176.765,110.726,79.49
198,176.876,111.323,79.395
199,176.765,110.548,79.622
200,176.882,110.614,79.625
201,176.765,109.725,79.965
202,176.771,109.931,80.034
203,176.66,110.077,80.13
204,176.327,109.827,80.233
205,176.105,109.619,80.615
