frame,shoulder_tilt,forward_lean,neck_angle
0,-178.822,142.39,45.297
1,-179.705,140.824,44.954
2,179.705,140.82,44.597
3,179.557,141.054,44.471
4,179.409,141.843,44.346
5,179.411,141.997,44.281
6,179.56,141.42,44.358
7,179.71,141.493,44.552
8,-179.855,143.045,44.241
9,-179.418,143.451,44.035
10,-179.269,143.384,43.715
11,-179.121,143.375,43.577
12,-178.825,143.036,43.474
13,-178.535,142.701,43.574
14,-178.535,142.571,43.657
15,-178.247,142.296,43.676
16,-178.105,142.028,43.901
17,-178.101,141.26,44.378
18,-178.101,141.012,44.629
19,-178.091,140.668,44.765
20,-178.091,139.937,45.192
21,-178.086,139.802,45.432
22,-177.939,139.578,45.644
23,-177.939,139.61,45.901
24,-178.229,139.228,46.234
25,-178.076,138.846,46.628
26,-178.076,138.828,46.807
27,-178.219,138.659,46.837
28,-178.219,138.214,47.113
29,-178.219,138.823,47.399
30,-178.219,139.318,47.502
31,-178.219,139.205,47.502
32,-178.066,139.118,47.637
33,-178.215,138.973,47.687
34,-178.21,139.106,47.775
35,-178.205,138.965,47.765
36,-178.351,138.112,47.714
37,-178.497,138.042,47.656
38,-178.497,137.866,47.76
39,-178.493,137.72,47.656
40,-178.64,137.499,47.494
41,-178.791,137.604,47.445
42,-178.942,138.828,47.49
43,-179.093,137.998,47.345
44,-179.395,138.137,47.245
45,-179.699,137.02,47.474
46,-179.85,136.881,47.525
47,-179.7,136.994,47.783
48,-179.701,137.172,47.896
49,-179.702,137.315,48.118
50,-179.703,137.387,48.23
51,-179.703,136.994,48.234
52,180.0,136.699,48.052
53,179.852,137.244,47.822
54,179.852,137.817,47.343
55,179.558,137.777,46.887
56,179.412,138.386,46.673
57,179.412,139.234,46.217
58,179.56,139.239,46.368
59,179.854,138.898,46.397
60,180.0,137.41,46.653
61,-179.711,137.366,46.576
62,-179.282,137.763,46.751
63,-179.002,137.689,46.974
64,-179.155,138.06,46.998
65,-179.301,136.022,47.082
66,-179.442,135.152,46.959
67,-179.305,136.741,46.929
