frame,shoulder_tilt,forward_lean,neck_angle
1,-176.77,132.173,55.252
2,-178.065,134.24,54.895
3,-178.97,134.734,54.937
4,-179.356,133.854,54.881
5,-179.485,130.394,54.936
6,-179.614,129.723,54.991
7,-179.615,129.424,55.096
8,-179.615,127.706,55.201
9,-179.871,128.64,55.322
10,-179.871,127.231,55.439
11,180.0,126.481,55.505
12,-179.87,125.714,55.562
13,179.87,126.054,55.787
14,179.61,125.687,55.907
15,179.609,126.018,55.798
16,179.609,129.296,55.912
17,179.74,129.496,55.855
18,179.74,130.015,55.85
19,179.74,129.8,55.734
20,179.741,130.476,55.612
21,179.87,131.119,55.218
22,179.741,131.249,55.051
23,179.87,131.232,54.886
24,180.0,131.53,54.831
25,180.0,131.09,54.831
26,180.0,130.421,54.837
27,180.0,128.647,54.834
28,-179.87,128.444,54.78
29,-179.87,128.575,54.78
30,-179.87,129.455,54.78
31,-179.87,129.537,54.885
32,-179.87,130.078,54.995
33,-179.87,129.855,54.783
34,-179.74,130.582,54.836
35,-179.74,130.783,54.836
36,-179.349,130.788,54.785
37,-179.219,128.819,54.842
38,-179.219,130.497,54.842
39,-179.089,130.445,54.789
40,-179.086,130.597,54.572
41,-179.086,131.854,54.572
42,-179.086,129.051,54.572
43,-178.958,130.178,54.624
44,-179.089,129.767,54.569
45,-179.089,128.997,54.679
46,-178.961,128.594,54.619
47,-179.21,120.455,54.076
48,-173.163,118.444,56.113
49,-173.241,118.561,54.362
50,-174.333,117.896,52.835
51,-175.093,117.693,53.222
52,-176.397,114.713,54.303
53,-177.417,116.895,54.693
54,-178.0,116.731,55.282
55,-177.715,116.384,56.034
56,-177.423,118.522,56.945
57,-177.578,118.596,57.243
58,-177.578,115.242,57.375
59,-177.301,115.102,56.973
60,-177.307,115.831,56.961
61,-177.301,116.336,56.973
62,-177.732,115.658,56.882
63,-177.721,116.382,56.512
64,-177.173,118.559,55.986
65,-170.699,120.609,58.729
66,-171.678,118.793,59.318
67,-176.76,123.375,57.346
68,-179.193,129.817,55.955
69,179.195,126.578,55.017
70,179.463,128.322,54.902
71,179.866,126.853,54.843
72,-179.734,124.743,54.999
73,-179.6,124.908,54.828
74,-179.6,125.65,54.942
75,-179.6,126.12,54.83
76,-179.338,124.434,54.931
77,-179.338,124.063,54.819
78,-179.338,125.686,54.485
79,-179.206,125.992,54.32
80,-179.208,125.875,54.428
81,-179.076,125.63,54.372
82,-179.076,125.451,54.483
83,-179.206,125.643,54.319
84,-179.208,125.501,54.315
85,-179.076,125.423,54.372
86,-179.076,125.423,54.372
87,-179.208,125.478,54.317
88,-179.471,125.146,54.43
89,-179.601,125.047,54.269
90,-179.601,125.021,54.159
91,-179.468,124.722,54.214
92,-179.601,124.732,54.159
93,-179.467,124.678,54.107
94,-179.334,125.043,54.053
95,-179.334,124.954,54.053
96,-179.334,125.018,53.943
97,-179.334,124.881,53.833
98,-179.334,124.443,53.833
99,-179.199,124.281,53.672
100,-179.067,124.141,53.618
101,-179.067,124.056,53.618
102,-178.934,124.407,53.565
103,-178.934,124.558,53.565
104,-178.929,124.688,53.35
105,-179.063,124.719,53.295
106,-179.063,124.741,53.295
107,-179.063,124.938,53.295
108,-179.063,125.115,53.295
109,-178.929,125.218,53.35
110,-178.795,124.632,53.298
111,-178.798,124.807,53.405
112,-178.665,124.882,53.351
113,-178.401,124.989,53.353
114,-178.531,124.52,53.19
115,-178.528,123.454,53.19
116,-178.662,122.979,53.348
117,-178.795,121.361,53.51
118,-178.929,121.515,53.564
119,-178.934,122.463,53.779
120,-178.804,122.591,53.831
121,-178.804,122.828,53.829
122,-178.804,123.027,53.829
123,-178.804,122.628,53.938
124,-178.671,122.093,53.991
125,-178.671,123.136,53.991
126,-178.671,122.974,53.991
