frame,shoulder_tilt,forward_lean,neck_angle
1,-172.661,125.795,51.87
2,-172.661,137.097,52.438
3,-172.611,137.099,53.083
4,-173.068,135.936,53.114
5,-173.629,133.615,53.205
6,-173.784,133.799,54.069
7,-173.939,133.389,54.122
8,-174.108,135.287,53.937
9,-174.414,135.683,53.926
10,-175.168,135.931,54.06
11,-175.078,135.176,54.229
12,-175.101,136.579,54.34
13,-175.001,136.643,54.383
14,-175.013,136.202,54.367
15,-175.158,131.361,54.189
16,-175.303,133.601,53.902
17,-175.303,135.239,53.797
18,-175.314,128.974,53.793
19,-175.479,130.27,53.853
20,-175.642,132.43,54.011
21,-175.764,131.924,53.742
22,-176.028,133.021,53.844
23,-176.548,129.586,53.828
24,-176.931,130.096,53.765
25,-177.452,130.453,53.642
26,-178.367,126.28,53.896
27,179.444,125.581,54.327
28,178.303,127.252,52.741
29,176.875,128.534,53.543
30,176.016,126.724,53.555
31,177.294,125.969,52.917
32,176.898,122.384,53.298
33,176.906,121.725,53.416
34,176.363,120.964,53.874
35,176.797,122.809,53.707
36,177.372,122.164,53.801
37,177.654,123.254,53.691
38,177.808,122.652,53.636
39,177.824,123.627,53.408
40,178.26,122.762,53.767
41,178.809,123.393,53.754
42,178.555,123.928,53.725
43,179.212,126.079,53.574
44,179.738,124.652,53.587
45,-179.738,124.227,53.491
46,-179.213,124.626,53.398
47,-178.565,122.52,53.578
48,-178.445,122.78,53.858
49,-178.445,123.151,53.862
50,-178.574,123.119,54.018
51,-178.052,121.798,54.142
52,-178.052,122.133,54.142
53,-178.052,122.553,54.032
54,-178.19,123.153,53.755
55,-178.194,123.312,53.647
56,-178.33,124.123,53.485
57,-178.202,124.011,53.443
58,-178.202,122.608,53.448
59,-178.078,123.074,53.505
60,-177.955,122.371,53.456
61,-177.827,122.644,53.305
62,-177.832,122.369,53.304
63,-177.328,122.366,53.516
64,-177.074,123.581,53.832
65,-177.068,123.384,53.835
66,-176.94,122.199,53.787
67,-176.827,122.097,54.051
68,-176.715,122.572,54.104
69,-176.73,122.819,54.201
70,-176.722,122.426,54.095
71,-176.582,121.875,54.262
72,-176.447,121.625,54.319
73,-176.177,122.3,54.121
74,-175.787,121.954,54.189
75,-175.523,121.849,53.984
76,-175.003,121.623,54.117
77,-174.886,121.238,54.279
78,-174.748,121.297,54.237
79,-174.748,120.647,54.343
80,-174.759,120.774,54.339
81,-174.898,120.706,54.274
82,-175.025,122.361,54.214
83,-175.014,121.95,54.215
84,-175.014,122.512,54.109
85,-175.014,122.625,54.116
86,-175.003,122.874,54.014
87,-175.375,123.451,53.842
88,-175.365,123.236,53.532
89,-175.344,123.332,53.536
90,-175.73,123.028,53.573
91,-175.988,122.835,53.564
92,-176.117,122.672,53.613
93,-176.367,122.167,53.395
94,-176.375,122.493,53.187
95,-176.512,122.469,53.131
96,-176.634,123.062,53.179
97,-176.634,122.815,53.075
98,-176.892,122.931,52.964
99,-176.885,122.702,52.964
100,-177.014,122.862,53.013
101,-177.014,122.547,53.535
102,-177.274,122.62,53.634
103,-177.268,122.774,53.53
104,-177.268,122.539,53.742
105,-177.268,122.515,53.955
106,-177.261,122.707,53.85
107,-177.261,122.9,53.956
108,-177.261,122.587,54.064
109,-177.255,123.354,54.066
110,-177.255,123.254,54.066
111,-177.255,123.175,53.959
112,-177.255,123.056,53.959
113,-177.516,122.452,53.953
114,-177.255,122.496,53.745
115,-177.261,122.155,53.85
116,-177.261,121.843,53.743
117,-177.403,121.832,54.004
118,-177.28,121.976,53.951
119,-177.292,122.227,53.841
120,-177.298,122.153,53.946
121,-177.17,121.862,54.108
122,-177.17,121.41,54.108
123,-177.176,122.786,54.0
124,-177.432,122.961,53.887
125,-177.432,122.963,53.781
126,-177.432,122.963,53.781
127,-177.432,123.215,53.781
128,-177.432,123.176,53.781
129,-177.432,123.275,53.675
130,-177.432,123.413,53.571
131,-177.432,123.177,53.674
132,-177.432,122.842,54.095
133,-177.427,122.699,54.417
134,-177.427,122.556,54.742
135,-177.555,122.623,54.79
136,-177.55,122.239,54.684
137,-177.544,122.604,54.58
138,-177.286,122.471,54.479
139,-177.028,122.51,54.489
140,-177.157,122.576,54.54
141,-177.151,122.556,54.433
142,-177.151,122.556,54.433
143,-177.151,122.829,54.433
144,-177.144,122.945,54.437
145,-177.274,122.816,54.488
146,-177.268,122.62,54.381
147,-177.392,122.629,54.327
148,-177.392,122.59,54.327
149,-177.261,122.424,54.385
150,-177.261,122.463,54.387
151,-177.138,122.413,54.552
152,-177.261,123.089,54.607
153,-177.131,122.775,54.886
154,-177.131,122.674,54.998
155,-177.001,122.603,55.058
156,-177.001,122.583,55.058
157,-177.001,122.368,55.058
158,-177.008,122.508,55.053
159,-177.001,122.485,55.057
160,-177.008,122.603,55.163
161,-177.008,124.509,54.941
162,-177.008,124.399,54.831
163,-177.138,124.664,54.553
164,-177.138,124.898,54.335
165,-177.008,125.131,54.393
166,-176.885,123.835,54.557
167,-176.885,123.731,54.777
168,-176.871,123.669,54.783
169,-176.748,123.044,55.056
170,-176.626,123.422,54.996
171,-176.504,123.067,55.045
172,-176.375,123.036,55.1
173,-176.246,123.515,54.937
174,-176.246,123.168,55.043
175,-176.246,123.37,55.154
176,-175.988,123.555,55.155
177,-176.117,124.132,55.091
178,-176.117,124.562,55.085
179,-176.117,125.248,55.079
180,-175.988,125.943,55.026
181,-175.988,125.46,55.026
182,-176.117,125.132,54.968
183,-175.988,125.781,55.026
184,-176.108,125.565,54.976
185,-176.238,125.1,54.918
186,-176.108,125.177,54.865
187,-176.108,125.492,54.865
188,-176.246,125.302,55.027
189,-176.238,125.943,54.924
190,-176.359,125.795,54.878
191,-176.359,125.68,54.873
192,-176.481,125.63,54.933
193,-176.481,125.768,54.933
194,-176.481,127.471,54.822
195,-176.489,127.074,54.931
196,-176.481,127.737,54.716
197,-176.481,127.188,54.716
